raw_symbol,name,sector,index,market,ticker
3IN,3i Infrastructure,Financial Services,FTSE250,UK,3IN.L
FOUR,4imprint,Media,FTSE250,UK,FOUR.L
AAS,Aberdeen Asia Focus,Investment Trusts,FTSE250,UK,AAS.L
ASL,Aberforth Smaller Companies Trust,Investment Trusts,FTSE250,UK,ASL.L
AEP,AEP Plantations,Food Producers,FTSE250,UK,AEP.L
ALFA,Alfa Financial Software,Software and Computer Services,FTSE250,UK,ALFA.L
ATT,Allianz Technology Trust,Investment Trusts,FTSE250,UK,ATT.L
AO,AO World,Retail,FTSE250,UK,AO.L
APN,Applied Nutrition,Food Producers,FTSE250,UK,APN.L
ASHM,Ashmore Group,Financial Services,FTSE250,UK,ASHM.L
AIE,Ashoka India Equity Investment Trust,Investment Trusts,FTSE250,UK,AIE.L
AML,Aston Martin Lagonda,Automobiles & Parts,FTSE250,UK,AML.L
ATYM,Atalaya Mining,Industrial Metals and Mining,FTSE250,UK,ATYM.L
ATG,Auction Technology Group,Software and Computer Services,FTSE250,UK,ATG.L
AGT,AVI Global Trust,Investment Trusts,FTSE250,UK,AGT.L
AVON,Avon Technologies,Industrial Goods and Services,FTSE250,UK,AVON.L
BME,B&M,Retailers,FTSE250,UK,BME.L
BGFD,Baillie Gifford Japan Trust,Investment Trusts,FTSE250,UK,BGFD.L
USA,Baillie Gifford US Growth Trust,Investment Trusts,FTSE250,UK,USA.L
BBY,Balfour Beatty,Construction & Materials,FTSE250,UK,BBY.L
BCG,Baltic Classifieds,Consumer Digital Services,FTSE250,UK,BCG.L
BNKR,Bankers Investment Trust,Investment Trusts,FTSE250,UK,BNKR.L
BAG,A.G. Barr,Beverages,FTSE250,UK,BAG.L
AJB,AJ Bell,Financial Services,FTSE250,UK,AJB.L
BWY,Bellway,Home Construction,FTSE250,UK,BWY.L
BKG,Berkeley Group Holdings,Household goods & home construction,FTSE250,UK,BKG.L
BHMG,BH Macro,Hedge Funds,FTSE250,UK,BHMG.L
BYG,Big Yellow Group,Real Estate Investment Trusts,FTSE250,UK,BYG.L
BPCR,Biopharma Credit,Investment Trusts,FTSE250,UK,BPCR.L
BRGE,BlackRock Greater Europe Investment Trust,Investment Trusts,FTSE250,UK,BRGE.L
BRSC,BlackRock Smaller Companies Trust,Investment Trusts,FTSE250,UK,BRSC.L
BRWM,BlackRock World Mining Trust,Investment Trusts,FTSE250,UK,BRWM.L
BMY,Bloomsbury Publishing,Media,FTSE250,UK,BMY.L
BOY,Bodycote,Industrial Engineering,FTSE250,UK,BOY.L
BREE,Breedon Group,Construction & Materials,FTSE250,UK,BREE.L
BPT,Bridgepoint Group,Financial Services,FTSE250,UK,BPT.L
BUT,Brunner Investment Trust,Investment Trusts,FTSE250,UK,BUT.L
BYIT,Bytes Technology Group,Aerospace & Defence,FTSE250,UK,BYIT.L
CLDN,Caledonia Investments,Investment Trusts,FTSE250,UK,CLDN.L
CGT,Capital Gearing Trust,Investment Trusts,FTSE250,UK,CGT.L
CWR,Ceres Power,Alternative Energy,FTSE250,UK,CWR.L
CHG,Chemring Group,Aerospace & Defence,FTSE250,UK,CHG.L
CSN,Chesnara,Life Insurance,FTSE250,UK,CSN.L
CTY,City of London Investment Trust,Investment Trusts,FTSE250,UK,CTY.L
CKN,Clarkson,Industrial Transportation,FTSE250,UK,CKN.L
CBG,Close Brothers Group,Financial Services,FTSE250,UK,CBG.L
