raw_symbol,name,sector,index,market,ticker
ASIT,Aberforth Split Level Income Trust,Investment Trust,FTSE_SMALL,UK,ASIT.L
AEWU,AEW UK REIT,REIT,FTSE_SMALL,UK,AEWU.L
APTD,Aptitude Software Group,Software,FTSE_SMALL,UK,APTD.L
ATS,Artemis Alpha Trust,Investment Trust,FTSE_SMALL,UK,ATS.L
ROOF,Atrato Onsite Energy,Investment Trust,FTSE_SMALL,UK,ROOF.L
AUGM,Augmentum Fintech,Investment Trust,FTSE_SMALL,UK,AUGM.L
BGEU,Baillie Gifford European Growth Trust,Investment Trust,FTSE_SMALL,UK,BGEU.L
BGS,Baillie Gifford Shin Nippon,Investment Trust,FTSE_SMALL,UK,BGS.L
CABP,CAB Payments,Financial Services,FTSE_SMALL,UK,CABP.L
CPI,Capita,Specialty Business Services,FTSE_SMALL,UK,CPI.L
CAPD,Capital Limited,Other Industrial Metals & Mining,FTSE_SMALL,UK,CAPD.L
CNE,Capricorn Energy,"Oil, Gas and Coal",FTSE_SMALL,UK,CNE.L
CARD,Card Factory,Specialty Retail,FTSE_SMALL,UK,CARD.L
CLIG,City of London Investment Group,Asset Management,FTSE_SMALL,UK,CLIG.L
CLI,CLS Holdings,Real Estate Investment and Services,FTSE_SMALL,UK,CLI.L
CYN,CQS Natural Resources,Investment Trust,FTSE_SMALL,UK,CYN.L
CTPE,CT Private Equity Trust,Investment Trust,FTSE_SMALL,UK,CTPE.L
CREI,Custodian Reit,Investment Trust,FTSE_SMALL,UK,CREI.L
DFS,DFS Furniture,"Furnishings, Fixtures & Appliances",FTSE_SMALL,UK,DFS.L
DGI9,Digital 9 Infrastructure,Investment Trust,FTSE_SMALL,UK,DGI9.L
ENQ,EnQuest,Oil & Gas E&P,FTSE_SMALL,UK,ENQ.L
EVOK,Evoke,Gambling,FTSE_SMALL,UK,EVOK.L
FAS,Fidelity Asian Values,Investment Trust,FTSE_SMALL,UK,FAS.L
FJV,Fidelity Japan Trust,Investment Trust,FTSE_SMALL,UK,FJV.L
FSF,Foresight Sustainable Forestry Company,Investment Trust,FTSE_SMALL,UK,FSF.L
FORT,Forterra,Building Materials,FTSE_SMALL,UK,FORT.L
FOXT,Foxtons,Real Estate Services,FTSE_SMALL,UK,FOXT.L
FSTA,"Fuller, Smith & Turner",Restaurants,FTSE_SMALL,UK,FSTA.L
GMS,Gulf Marine Services,"Oil, Gas and Coal",FTSE_SMALL,UK,GMS.L
HFD,Halfords,Specialty Retail,FTSE_SMALL,UK,HFD.L
HEAD,Headlam Group,"Furnishings, Fixtures & Appliances",FTSE_SMALL,UK,HEAD.L
HLCL,Helical,Real Estate Services,FTSE_SMALL,UK,HLCL.L
BOOT,Henry Boot,Real Estate - Diversified,FTSE_SMALL,UK,BOOT.L
HSW,Hostelworld Group,Travel Services,FTSE_SMALL,UK,HSW.L
FSJ,James Fisher & Sons,Marine Shipping,FTSE_SMALL,UK,FSJ.L
JZCP,JZ Capital Partners,Closed End Investments,FTSE_SMALL,UK,JZCP.L
KMR,Kenmare Resources,Other Industrial Metals & Mining,FTSE_SMALL,UK,KMR.L
LTI,Lindsell Train,Investment Trust,FTSE_SMALL,UK,LTI.L
LIO,Liontrust Asset Management,Asset Management,FTSE_SMALL,UK,LIO.L
LWI,Lowland Investment Company,Investment Trust,FTSE_SMALL,UK,LWI.L
LSL,LSL Property Services,Real Estate Services,FTSE_SMALL,UK,LSL.L
LUCE,Luceco,Electrical Equipment & Parts,FTSE_SMALL,UK,LUCE.L
MACF,Macfarlane Group,Packaging & Containers,FTSE_SMALL,UK,MACF.L
MAJE,Majedie Investments,Investment Trust,FTSE_SMALL,UK,MAJE.L
MARS,Marston's,Restaurants,FTSE_SMALL,UK,MARS.L
MER,Mears Group,Personal Services,FTSE_SMALL,UK,MER.L
MWY,Mid Wynd International Investment Trust,Investment Trust,FTSE_SMALL,UK,MWY.L
GLE,M J Gleeson,Residential Construction,FTSE_SMALL,UK,GLE.L
MMIT,Mobius Investment Trust,Investment Trust,FTSE_SMALL,UK,MMIT.L
MOTR,Motorpoint Group,Auto & Truck Dealerships,FTSE_SMALL,UK,MOTR.L
NRR,NewRiver,REIT,FTSE_SMALL,UK,NRR.L
NXR,Norcros,Building Products & Equipment,FTSE_SMALL,UK,NXR.L
OCN,Ocean Wilsons Holdings,Marine Shipping,FTSE_SMALL,UK,OCN.L
OTB,On The Beach Group,Travel Services,FTSE_SMALL,UK,OTB.L
PCA,Palace Capital,REIT,FTSE_SMALL,UK,PCA.L
PDL,Petra Diamonds,Other Precious Metals & Mining,FTSE_SMALL,UK,PDL.L
PHAR,Pharos Energy,Oil & Gas E&P,FTSE_SMALL,UK,PHAR.L
PSDL,Phoenix Spree Deutschland,Investment Trust,FTSE_SMALL,UK,PSDL.L
PRV,Porvair,Pollution & Treatment Controls,FTSE_SMALL,UK,PRV.L
RCH,Reach,Publishing,FTSE_SMALL,UK,RCH.L
REC,Record,Asset Management,FTSE_SMALL,UK,REC.L
RSE,Riverstone Energy,Investment Trust,FTSE_SMALL,UK,RSE.L
RWA,Robert Walters,Staffing & Employment Services,FTSE_SMALL,UK,RWA.L
SUS,S & U,Credit Services,FTSE_SMALL,UK,SUS.L
SBRE,Sabre Insurance,Insurance Brokers,FTSE_SMALL,UK,SBRE.L
SCF,Schroder Income Growth Fund,Investment Trust,FTSE_SMALL,UK,SCF.L
INOV,Schroders Capital Global Innovation Trust,Investment Trust,FTSE_SMALL,UK,INOV.L
STB,Secure Trust Bank,Banks - Regional,FTSE_SMALL,UK,STB.L
SFR,Severfield,Engineering & Construction,FTSE_SMALL,UK,SFR.L
SHI,SIG,Industrial Distribution,FTSE_SMALL,UK,SHI.L
SNWS,Smiths News,Publishing,FTSE_SMALL,UK,SNWS.L
SDY,Speedy Hire,Rental & Leasing Services,FTSE_SMALL,UK,SDY.L
SWEF,Starwood European Real Estate Finance,Investment Trust,FTSE_SMALL,UK,SWEF.L
SEC,Strategic Equity Capital,Investment Trust,FTSE_SMALL,UK,SEC.L
STVG,STV Group,Broadcasting,FTSE_SMALL,UK,STVG.L
SYNT,Synthomer,Specialty Chemicals,FTSE_SMALL,UK,SYNT.L
GYM,The Gym Group,Leisure,FTSE_SMALL,UK,GYM.L
TPT,Topps Tiles,Home Improvement Retail,FTSE_SMALL,UK,TPT.L
TET,Treatt,Specialty Chemicals,FTSE_SMALL,UK,TET.L
TRI,Trifast,Tools & Accessories,FTSE_SMALL,UK,TRI.L
TTG,TT Electronics,Electronic Components,FTSE_SMALL,UK,TTG.L
ULTP,Ultimate Products,Household Goods and Home Construction,FTSE_SMALL,UK,ULTP.L
VANQ,Vanquis Banking Group,Credit Services,FTSE_SMALL,UK,VANQ.L
VID,Videndum,Consumer Electronics,FTSE_SMALL,UK,VID.L
XAR,Xaar,Computer Hardware,FTSE_SMALL,UK,XAR.L
ZTF,Zotefoams,Specialty Chemicals,FTSE_SMALL,UK,ZTF.L
