raw_symbol,name,sector,index,market,ticker
AA,Alcoa,Materials,SP400,US,AA
AAL,American Airlines Group,Industrials,SP400,US,AAL
AAON,AAON,Industrials,SP400,US,AAON
ACI,Albertsons,Consumer Staples,SP400,US,ACI
ACM,AECOM,Industrials,SP400,US,ACM
ADC,Agree Realty,Real Estate,SP400,US,ADC
AEIS,Advanced Energy,Information Technology,SP400,US,AEIS
AFG,American Financial Group,Financials,SP400,US,AFG
AGCO,AGCO,Industrials,SP400,US,AGCO
AHR,American Healthcare REIT,Real Estate,SP400,US,AHR
AIT,Applied Industrial Technologies,Industrials,SP400,US,AIT
ALGM,Allegro MicroSystems,Information Technology,SP400,US,ALGM
ALK,Alaska Air Group,Industrials,SP400,US,ALK
ALLY,Ally Financial,Financials,SP400,US,ALLY
ALSN,Allison Transmission,Industrials,SP400,US,ALSN
ALV,Autoliv,Consumer Discretionary,SP400,US,ALV
AM,Antero Midstream,Energy,SP400,US,AM
AMG,Affiliated Managers Group,Financials,SP400,US,AMG
AMH,American Homes 4 Rent,Real Estate,SP400,US,AMH
AMKR,Amkor Technology,Information Technology,SP400,US,AMKR
AN,AutoNation,Consumer Discretionary,SP400,US,AN
ANF,Abercrombie & Fitch,Consumer Discretionary,SP400,US,ANF
APG,APi Group,Industrials,SP400,US,APG
APPF,AppFolio,Information Technology,SP400,US,APPF
AR,Antero Resources,Energy,SP400,US,AR
ARMK,Aramark,Consumer Discretionary,SP400,US,ARMK
ARW,Arrow Electronics,Information Technology,SP400,US,ARW
ARWR,Arrowhead Pharmaceuticals,Health Care,SP400,US,ARWR
ASB,Associated Bank,Financials,SP400,US,ASB
ASH,Ashland Global,Materials,SP400,US,ASH
ATI,ATI Inc.,Industrials,SP400,US,ATI
ATR,AptarGroup,Materials,SP400,US,ATR
AVAV,AeroVironment,Industrials,SP400,US,AVAV
AVNT,Avient,Materials,SP400,US,AVNT
AVT,Avnet,Information Technology,SP400,US,AVT
AVTR,Avantor,Health Care,SP400,US,AVTR
AXTA,Axalta,Materials,SP400,US,AXTA
AYI,Acuity Brands,Industrials,SP400,US,AYI
BAH,Booz Allen Hamilton,Industrials,SP400,US,BAH
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,SP400,US,BBWI
BC,Brunswick,Consumer Discretionary,SP400,US,BC
BCO,Brink's,Industrials,SP400,US,BCO
BDC,Belden Inc.,Information Technology,SP400,US,BDC
BHF,Brighthouse Financial,Financials,SP400,US,BHF
BILL,Bill Holdings,Information Technology,SP400,US,BILL
BIO,Bio-Rad Laboratories,Health Care,SP400,US,BIO
BJ,BJ's Wholesale Club,Consumer Staples,SP400,US,BJ
BKH,Black Hills Corporation,Utilities,SP400,US,BKH
BMRN,BioMarin Pharmaceutical,Health Care,SP400,US,BMRN
BRKR,Bruker,Health Care,SP400,US,BRKR
BROS,Dutch Bros Inc.,Consumer Discretionary,SP400,US,BROS
BRX,Brixmor Property Group,Real Estate,SP400,US,BRX
BSY,Bentley Systems,Information Technology,SP400,US,BSY
BTSG,BrightSpring Health Services,Health Care,SP400,US,BTSG
BURL,Burlington Stores,Consumer Discretionary,SP400,US,BURL
BWA,BorgWarner,Consumer Discretionary,SP400,US,BWA
BWXT,BWX Technologies,Industrials,SP400,US,BWXT
BYD,Boyd Gaming,Consumer Discretionary,SP400,US,BYD
CACI,CACI International,Industrials,SP400,US,CACI
CAR,Avis Budget Group,Industrials,SP400,US,CAR
CART,Maplebear Inc.,Consumer Staples,SP400,US,CART
CAVA,Cava Group,Consumer Discretionary,SP400,US,CAVA
CBSH,Commerce Bancshares,Financials,SP400,US,CBSH
CBT,Cabot Corp,Materials,SP400,US,CBT
CCK,Crown Holdings,Materials,SP400,US,CCK
CDE,Coeur Mining,Materials,SP400,US,CDE
CDP,COPT Defense Properties,Real Estate,SP400,US,CDP
CELH,Celsius Holdings,Consumer Staples,SP400,US,CELH
CFR,Frost Bank,Financials,SP400,US,CFR
CG,Carlyle Group (The),Financials,SP400,US,CG
CGNX,Cognex,Information Technology,SP400,US,CGNX
CHDN,Churchill Downs Inc.,Consumer Discretionary,SP400,US,CHDN
CHE,Chemed Corp.,Health Care,SP400,US,CHE
CHH,Choice Hotels,Consumer Discretionary,SP400,US,CHH
CHRD,Chord Energy,Energy,SP400,US,CHRD
CHWY,Chewy,Consumer Discretionary,SP400,US,CHWY
CLF,Cleveland-Cliffs,Materials,SP400,US,CLF
CLH,Clean Harbors,Industrials,SP400,US,CLH
CMC,Commercial Metals,Materials,SP400,US,CMC
CNH,CNH Industrial,Industrials,SP400,US,CNH
CNM,Core & Main,Industrials,SP400,US,CNM
CNO,CNO Financial Group,Financials,SP400,US,CNO
CNX,CNX Resources,Energy,SP400,US,CNX
COKE,Coca-Cola Consolidated,Consumer Staples,SP400,US,COKE
COLB,Columbia Banking System,Financials,SP400,US,COLB
COLM,Columbia Sportswear,Consumer Discretionary,SP400,US,COLM
CPRI,Capri Holdings,Consumer Discretionary,SP400,US,CPRI
CR,Crane,Industrials,SP400,US,CR
CRBG,Corebridge Financial,Financials,SP400,US,CRBG
CROX,Crocs,Consumer Discretionary,SP400,US,CROX
CRS,Carpenter Technology,Industrials,SP400,US,CRS
CRUS,Cirrus Logic,Information Technology,SP400,US,CRUS
CSL,Carlisle Companies,Industrials,SP400,US,CSL
CTRE,CareTrust REIT,Real Estate,SP400,US,CTRE
CUBE,CubeSmart,Real Estate,SP400,US,CUBE
CUZ,Cousins Properties,Real Estate,SP400,US,CUZ
CVLT,CommVault Systems,Information Technology,SP400,US,CVLT
CW,Curtiss-Wright,Industrials,SP400,US,CW
CXT,Crane NXT,Information Technology,SP400,US,CXT
CYTK,Cytokinetics,Health Care,SP400,US,CYTK
DAR,Darling Ingredients,Consumer Staples,SP400,US,DAR
DBX,Dropbox,Information Technology,SP400,US,DBX
DCI,Donaldson Company,Industrials,SP400,US,DCI
DINO,HF Sinclair,Energy,SP400,US,DINO
DKS,Dick's Sporting Goods,Consumer Discretionary,SP400,US,DKS
DLB,Dolby,Information Technology,SP400,US,DLB
DOCN,DigitalOcean,Information Technology,SP400,US,DOCN
DOCS,Doximity,Health Care,SP400,US,DOCS
DOCU,Docusign,Information Technology,SP400,US,DOCU
DT,Dynatrace,Information Technology,SP400,US,DT
DTM,DT Midstream,Energy,SP400,US,DTM
DUOL,Duolingo,Consumer Discretionary,SP400,US,DUOL
DY,Dycom Industries,Industrials,SP400,US,DY
EEFT,Euronet Worldwide,Financials,SP400,US,EEFT
EGP,EastGroup Properties,Real Estate,SP400,US,EGP
EHC,Encompass Health,Health Care,SP400,US,EHC
ELAN,Elanco,Health Care,SP400,US,ELAN
ELF,e.l.f. Beauty,Consumer Staples,SP400,US,ELF
ELS,Equity Lifestyle Properties,Real Estate,SP400,US,ELS
ENS,EnerSys,Industrials,SP400,US,ENS
ENSG,Ensign Group,Health Care,SP400,US,ENSG
ENTG,Entegris,Information Technology,SP400,US,ENTG
