ticker,name,market,sector,index
A,"Agilent Technologies, Inc. Common Stock",US,,USALL
AA,Alcoa Corporation Common Stock,US,,USALL
AAC,Ares Acquisition Corporation III Class A Ordinary Shares,US,,USALL
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,US,,USALL
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,US,,USALL
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,US,,USALL
AADX,"Applied Aerospace & Defense, Inc. Common Stock",US,,USALL
AAL,"American Airlines Group, Inc. - Common Stock",US,,USALL
AAMI,Acadian Asset Management Inc. Common Stock,US,,USALL
AAOI,"Applied Optoelectronics, Inc. - Common Stock",US,,USALL
AAON,"AAON, Inc. - Common Stock",US,,USALL
AAP,Advance Auto Parts Inc.,US,,USALL
AAPL,Apple Inc. - Common Stock,US,,USALL
AARD,"Aardvark Therapeutics, Inc. - Common Stock",US,,USALL
AAT,"American Assets Trust, Inc. Common Stock",US,,USALL
AAUC,Allied Gold Corporation Common Shares,US,,USALL
ABAT,American Battery Technology Company - Common Stock,US,,USALL
ABBV,AbbVie Inc. Common Stock,US,,USALL
ABCB,Ameris Bancorp Common Stock,US,,USALL
ABCL,AbCellera Biologics Inc. - Common Shares,US,,USALL
ABEO,Abeona Therapeutics Inc. - Common Stock,US,,USALL
ABG,Asbury Automotive Group Inc Common Stock,US,,USALL
ABLV,Able View Global Inc. - Class B Ordinary Shares,US,,USALL
ABM,ABM Industries Incorporated Common Stock,US,,USALL
ABNB,"Airbnb, Inc. - Class A Common Stock",US,,USALL
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",US,,USALL
ABR,Arbor Realty Trust Common Stock,US,,USALL
ABSI,Absci Corporation - Common Stock,US,,USALL
ABT,Abbott Laboratories Common Stock,US,,USALL
ABTC,American Bitcoin Corp. - Class A Common Stock,US,,USALL
ABTS,Abits Group Inc - Ordinary Shares,US,,USALL
ABUS,Arbutus Biopharma Corporation - Common Stock,US,,USALL
ABVC,"ABVC BioPharma, Inc. - Common Stock",US,,USALL
ABX,"Abacus Global Management, Inc. Class A Common Stock",US,,USALL
ACA,"Arcosa, Inc. Common Stock",US,,USALL
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,US,,USALL
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,US,,USALL
ACB,Aurora Cannabis Inc. - Common Shares,US,,USALL
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,US,,USALL
ACCO,Acco Brands Corporation Common Stock,US,,USALL
ACCS,ACCESS Newswire Inc. Common Stock,US,,USALL
ACDC,ProFrac Holding Corp. - Class A Common Stock,US,,USALL
ACEL,"Accel Entertainment, Inc.",US,,USALL
ACET,"Adicet Bio, Inc. - Common Stock",US,,USALL
ACFN,"Acorn Energy, Inc. - Common Stock",US,,USALL
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,US,,USALL
ACGL,Arch Capital Group Ltd. - Common Stock,US,,USALL
ACH,"Accendra Health, Inc. Common Stock",US,,USALL
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",US,,USALL
ACHR,Archer Aviation Inc. Class A Common Stock,US,,USALL
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",US,,USALL
ACI,"Albertsons Companies, Inc. Class A Common Stock",US,,USALL
ACIC,American Coastal Insurance Corporation - Common Stock,US,,USALL
ACIU,AC Immune SA - Common Stock,US,,USALL
ACIW,"ACI Worldwide, Inc. - Common Stock",US,,USALL
ACLS,"Axcelis Technologies, Inc. - Common Stock",US,,USALL
ACM,AECOM Common Stock,US,,USALL
