ticker,type,price,why
LINK-USD,BUY STOP,12.8928,"breakout trigger, above the base pivot"
LINK-USD,BUY LIMIT,12.5628,"pullback entry, old resistance acting as support"
LINK-USD,STOP LOSS,9.025,"initial stop, below base support and the 30 week average"
LINK-USD,BREAKEVEN,16.7606,move the stop to entry here
LINK-USD,TARGET 1,18.5295,"measured move, sell part of the position (1.46R)"
LINK-USD,TARGET 2,23.3028,second measured move (2.69R)
TRX-USD,BUY STOP,0.3808,"breakout trigger, above the base pivot"
TRX-USD,BUY LIMIT,0.3763,"pullback entry, old resistance acting as support"
TRX-USD,STOP LOSS,0.3104,"initial stop, below base support and the 30 week average"
TRX-USD,BREAKEVEN,0.4513,move the stop to entry here
TRX-USD,TARGET 1,0.4845,"measured move, sell part of the position (1.47R)"
TRX-USD,TARGET 2,0.5711,second measured move (2.7R)
UNI-USD,BUY STOP,0.0002,"breakout trigger, above the base pivot"
UNI-USD,BUY LIMIT,0.0002,"pullback entry, old resistance acting as support"
UNI-USD,STOP LOSS,0.0002,"initial stop, below base support and the 30 week average"
UNI-USD,BREAKEVEN,0.0003,move the stop to entry here
UNI-USD,TARGET 1,0.0004,"measured move, sell part of the position (2.22R)"
UNI-USD,TARGET 2,0.0005,second measured move (4.08R)
BTC-USD,BUY STOP,92041.0152,"breakout trigger, above the base pivot"
BTC-USD,BUY LIMIT,90439.2891,"pullback entry, old resistance acting as support"
BTC-USD,STOP LOSS,64428.7106,"initial stop, below base support and the 30 week average"
BTC-USD,BREAKEVEN,119653.3197,move the stop to entry here
BTC-USD,TARGET 1,125645.5451,"measured move, sell part of the position (1.22R)"
BTC-USD,TARGET 2,153810.5499,second measured move (2.24R)
INJ-USD,BUY STOP,7.5737,"breakout trigger, above the base pivot"
INJ-USD,BUY LIMIT,7.3213,"pullback entry, old resistance acting as support"
INJ-USD,STOP LOSS,5.3016,"initial stop, below base support and the 30 week average"
INJ-USD,BREAKEVEN,9.8458,move the stop to entry here
INJ-USD,TARGET 1,12.2898,"measured move, sell part of the position (2.08R)"
INJ-USD,TARGET 2,16.2647,second measured move (3.83R)
ETH-USD,BUY STOP,3105.4247,"breakout trigger, above the base pivot"
ETH-USD,BUY LIMIT,3040.7185,"pullback entry, old resistance acting as support"
ETH-USD,STOP LOSS,2173.7973,"initial stop, below base support and the 30 week average"
ETH-USD,BREAKEVEN,4037.0521,move the stop to entry here
ETH-USD,TARGET 1,4574.9313,"measured move, sell part of the position (1.58R)"
ETH-USD,TARGET 2,5802.3015,second measured move (2.89R)
SOL-USD,BUY STOP,131.0546,"breakout trigger, above the base pivot"
SOL-USD,BUY LIMIT,127.9663,"pullback entry, old resistance acting as support"
SOL-USD,STOP LOSS,91.7382,"initial stop, below base support and the 30 week average"
SOL-USD,BREAKEVEN,170.371,move the stop to entry here
SOL-USD,TARGET 1,195.5179,"measured move, sell part of the position (1.64R)"
SOL-USD,TARGET 2,249.5591,second measured move (3.01R)
ARB-USD,SELL STOP,0.0006,"breakout trigger, below the base pivot"
ARB-USD,SELL LIMIT,0.0006,"pullback entry, old support acting as resistance"
ARB-USD,STOP LOSS,0.0008,"initial stop, above base resistance and the 30 week average"
ARB-USD,BREAKEVEN,0.0004,move the stop to entry here
ARB-USD,TARGET 1,0.0003,"measured move, sell part of the position (1.56R)"
ARB-USD,TARGET 2,0.0001,second measured move (2.85R)
AAVE-USD,BUY STOP,168.5069,"breakout trigger, above the base pivot"
AAVE-USD,BUY LIMIT,163.4512,"pullback entry, old resistance acting as support"
AAVE-USD,STOP LOSS,117.9548,"initial stop, below base support and the 30 week average"
AAVE-USD,BREAKEVEN,219.059,move the stop to entry here
AAVE-USD,TARGET 1,268.8553,"measured move, sell part of the position (1.99R)"
AAVE-USD,TARGET 2,353.1786,second measured move (3.65R)
XLM-USD,BUY STOP,0.3052,"breakout trigger, above the base pivot"
