ticker,type,price,why
LAD,BUY STOP,445.3769,"breakout trigger, above the base pivot"
LAD,BUY LIMIT,438.6713,"pullback entry, old resistance acting as support"
LAD,STOP LOSS,391.9317,"initial stop, below base support and the 30 week average"
LAD,BREAKEVEN,498.8221,move the stop to entry here
LAD,TARGET 1,638.4779,"measured move, sell part of the position (3.61R)"
LAD,TARGET 2,798.3232,second measured move (6.6R)
SCHW,BUY STOP,113.6732,"breakout trigger, above the base pivot"
SCHW,BUY LIMIT,112.4,"pullback entry, old resistance acting as support"
SCHW,STOP LOSS,100.0324,"initial stop, below base support and the 30 week average"
SCHW,BREAKEVEN,127.314,move the stop to entry here
SCHW,TARGET 1,141.0841,"measured move, sell part of the position (2.01R)"
SCHW,TARGET 2,164.0314,second measured move (3.69R)
RJF,BUY STOP,184.9332,"breakout trigger, above the base pivot"
RJF,BUY LIMIT,182.73,"pullback entry, old resistance acting as support"
RJF,STOP LOSS,162.7412,"initial stop, below base support and the 30 week average"
RJF,BREAKEVEN,207.1252,move the stop to entry here
RJF,TARGET 1,227.1331,"measured move, sell part of the position (1.9R)"
RJF,TARGET 2,262.6555,second measured move (3.5R)
UNM,BUY STOP,95.7149,"breakout trigger, above the base pivot"
UNM,BUY LIMIT,94.55,"pullback entry, old resistance acting as support"
UNM,STOP LOSS,84.2291,"initial stop, below base support and the 30 week average"
UNM,BREAKEVEN,107.2007,move the stop to entry here
UNM,TARGET 1,120.8891,"measured move, sell part of the position (2.19R)"
UNM,TARGET 2,141.9604,second measured move (4.03R)
OMC,BUY STOP,89.8885,"breakout trigger, above the base pivot"
OMC,BUY LIMIT,88.55,"pullback entry, old resistance acting as support"
OMC,STOP LOSS,79.1019,"initial stop, below base support and the 30 week average"
OMC,BREAKEVEN,100.6751,move the stop to entry here
OMC,TARGET 1,112.12,"measured move, sell part of the position (2.06R)"
OMC,TARGET 2,130.9759,second measured move (3.81R)
BMY,BUY STOP,69.4455,"breakout trigger, above the base pivot"
BMY,BUY LIMIT,68.64,"pullback entry, old resistance acting as support"
BMY,STOP LOSS,61.112,"initial stop, below base support and the 30 week average"
BMY,BREAKEVEN,77.779,move the stop to entry here
BMY,TARGET 1,84.4365,"measured move, sell part of the position (1.8R)"
BMY,TARGET 2,97.0737,second measured move (3.32R)
AXTA,BUY STOP,39.1779,"breakout trigger, above the base pivot"
AXTA,BUY LIMIT,38.61,"pullback entry, old resistance acting as support"
AXTA,STOP LOSS,34.4765,"initial stop, below base support and the 30 week average"
AXTA,BREAKEVEN,43.8792,move the stop to entry here
AXTA,TARGET 1,52.283,"measured move, sell part of the position (2.79R)"
AXTA,TARGET 2,63.2214,second measured move (5.11R)
BDX,BUY STOP,194.7364,"breakout trigger, above the base pivot"
BDX,BUY LIMIT,192.3,"pullback entry, old resistance acting as support"
BDX,STOP LOSS,171.368,"initial stop, below base support and the 30 week average"
BDX,BREAKEVEN,218.1048,move the stop to entry here
BDX,TARGET 1,244.49,"measured move, sell part of the position (2.13R)"
BDX,TARGET 2,286.242,second measured move (3.92R)
EQH,BUY STOP,54.0906,"breakout trigger, above the base pivot"
EQH,BUY LIMIT,53.32,"pullback entry, old resistance acting as support"
EQH,STOP LOSS,47.5998,"initial stop, below base support and the 30 week average"
EQH,BREAKEVEN,60.5815,move the stop to entry here
EQH,TARGET 1,71.9203,"measured move, sell part of the position (2.75R)"
EQH,TARGET 2,86.8006,second measured move (5.04R)
MTG,BUY STOP,32.0233,"breakout trigger, above the base pivot"
MTG,BUY LIMIT,31.7148,"pullback entry, old resistance acting as support"
MTG,STOP LOSS,28.1805,"initial stop, below base support and the 30 week average"
MTG,BREAKEVEN,35.8661,move the stop to entry here
MTG,TARGET 1,38.8753,"measured move, sell part of the position (1.78R)"
MTG,TARGET 2,44.6036,second measured move (3.27R)
COP,BUY STOP,137.8464,"breakout trigger, above the base pivot"
COP,BUY LIMIT,135.88,"pullback entry, old resistance acting as support"
COP,STOP LOSS,121.3048,"initial stop, below base support and the 30 week average"
COP,BREAKEVEN,154.388,move the stop to entry here
COP,TARGET 1,176.0987,"measured move, sell part of the position (2.31R)"
COP,TARGET 2,208.2737,second measured move (4.26R)
CRBG,BUY STOP,35.3088,"breakout trigger, above the base pivot"
CRBG,BUY LIMIT,34.81,"pullback entry, old resistance acting as support"
CRBG,STOP LOSS,31.0717,"initial stop, below base support and the 30 week average"
CRBG,BREAKEVEN,39.5459,move the stop to entry here
CRBG,TARGET 1,47.7233,"measured move, sell part of the position (2.93R)"
CRBG,TARGET 2,58.0539,second measured move (5.37R)
AVNT,BUY STOP,47.4265,"breakout trigger, above the base pivot"
AVNT,BUY LIMIT,46.64,"pullback entry, old resistance acting as support"
AVNT,STOP LOSS,41.7353,"initial stop, below base support and the 30 week average"
AVNT,BREAKEVEN,53.1177,move the stop to entry here
AVNT,TARGET 1,61.9654,"measured move, sell part of the position (2.55R)"
AVNT,TARGET 2,74.2257,second measured move (4.71R)
LH,BUY STOP,342.2057,"breakout trigger, above the base pivot"
LH,BUY LIMIT,338.19,"pullback entry, old resistance acting as support"
LH,STOP LOSS,301.141,"initial stop, below base support and the 30 week average"
LH,BREAKEVEN,383.2704,move the stop to entry here
LH,TARGET 1,428.4712,"measured move, sell part of the position (2.1R)"
LH,TARGET 2,500.6962,second measured move (3.86R)
EWBC,BUY STOP,138.9404,"breakout trigger, above the base pivot"
EWBC,BUY LIMIT,137.47,"pullback entry, old resistance acting as support"
EWBC,STOP LOSS,122.2675,"initial stop, below base support and the 30 week average"
EWBC,BREAKEVEN,155.6132,move the stop to entry here
EWBC,TARGET 1,173.9408,"measured move, sell part of the position (2.1R)"
EWBC,TARGET 2,203.1175,second measured move (3.85R)
AMP,BUY STOP,578.9529,"breakout trigger, above the base pivot"
AMP,BUY LIMIT,572.56,"pullback entry, old resistance acting as support"
AMP,STOP LOSS,509.4785,"initial stop, below base support and the 30 week average"
AMP,BREAKEVEN,648.4272,move the stop to entry here
AMP,TARGET 1,916.096,"measured move, sell part of the position (4.85R)"
AMP,TARGET 2,1190.9248,second measured move (8.81R)
AMGN,BUY STOP,448.5467,"breakout trigger, above the base pivot"
AMGN,BUY LIMIT,443.2,"pullback entry, old resistance acting as support"
AMGN,STOP LOSS,394.7211,"initial stop, below base support and the 30 week average"
AMGN,BREAKEVEN,502.3723,move the stop to entry here
AMGN,TARGET 1,570.1306,"measured move, sell part of the position (2.26R)"
AMGN,TARGET 2,671.675,second measured move (4.15R)
FCX,BUY STOP,78.9828,"breakout trigger, above the base pivot"
FCX,BUY LIMIT,77.33,"pullback entry, old resistance acting as support"
FCX,STOP LOSS,69.5048,"initial stop, below base support and the 30 week average"
FCX,BREAKEVEN,88.4607,move the stop to entry here
FCX,TARGET 1,104.1043,"measured move, sell part of the position (2.65R)"
FCX,TARGET 2,125.5237,second measured move (4.91R)
MA,BUY STOP,589.871,"breakout trigger, above the base pivot"
MA,BUY LIMIT,583.71,"pullback entry, old resistance acting as support"
MA,STOP LOSS,519.0865,"initial stop, below base support and the 30 week average"
MA,BREAKEVEN,660.6555,move the stop to entry here
MA,TARGET 1,703.6774,"measured move, sell part of the position (1.61R)"
MA,TARGET 2,799.6514,second measured move (2.96R)
PFE,BUY STOP,28.7416,"breakout trigger, above the base pivot"
